"Estimated resident population by local government area (LGA), Queensland, 1991 to 2016pr",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
LGA,Estimated resident population at 30 June,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012pr,2013pr,2014pr,2015pr,2016pr
,— number — ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Weipa (T),"2,496","2,524","2,477","2,463","2,452","2,464","2,310","2,138","2,092","2,116","2,131","2,241","2,367","2,507","2,721","2,902","3,133","3,246","3,303","3,337","3,423","3,681","3,805","3,855","3,954","4,024"
Western Downs (R),"29,943","29,925","29,692","29,348","28,903","28,672","28,666","28,649","28,703","28,671","28,715","28,711","28,636","28,655","28,837","29,122","29,520","30,235","30,893","31,466","32,365","32,932","33,475","33,850","34,010","34,197"
Whitsunday (R),"24,921","25,148","25,583","25,847","26,229","26,851","27,056","27,152","27,177","27,167","27,396","27,996","28,491","28,977","29,606","30,255","30,759","31,337","31,838","32,140","32,416","33,418","34,151","34,433","34,606","34,626"
Winton (S),"1,758","1,745","1,733","1,696","1,661","1,637","1,633","1,616","1,599","1,585","1,585","1,567","1,543","1,473","1,454","1,423","1,403","1,372","1,371","1,359","1,380","1,346","1,314","1,279","1,225","1,156"
Woorabinda (S),"1,319","1,320","1,262","1,209","1,158","1,144","1,117","1,108","1,069","1,028","1,014",987,966,943,915,886,902,916,934,957,976,983,983,986,984,992
Wujal Wujal (S),270,283,295,311,317,336,345,352,356,366,366,361,356,347,342,336,325,319,311,297,287,288,290,294,290,296
Yarrabah (S),"1,895","1,920","1,949","1,974","1,996","2,024","2,078","2,126","2,167","2,209","2,236","2,278","2,323","2,365","2,410","2,468","2,498","2,531","2,535","2,588","2,595","2,643","2,686","2,696","2,698","2,703"
,,,,,,,,,,,,,,,,,,,,,,,,,,
Queensland,"2,960,951","3,023,198","3,096,185","3,166,566","3,237,380","3,303,192","3,355,417","3,404,484","3,453,936","3,509,458","3,571,469","3,653,123","3,743,121","3,829,970","3,918,494","4,007,992","4,111,018","4,219,505","4,328,771","4,404,744","4,476,778","4,569,863","4,654,521","4,724,417","4,784,367","4,848,877"
,,,,,,,,,,,,,,,,,,,,,,,,,,
pr = preliminary rebased     (C) = City     (R) = Regional Council     (S) = Shire    (T) = Town,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographies are based on the 2016 edition of the Australian Statistical Geography Standard (ASGS).,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: ABS 3218.0, Regional Population Growth, Australia, 2016 and Queensland Treasury estimates.",,,,,,,,,,,,,,,,,,,,,,,,,,
